O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
3000231,7108,O,236419.48,1997-09-03,1-URGENT,"Clerk#000000243",0,"r theodolites use quickly furiously special deposits. unusual, even ideas"
3000256,32149,O,103391.31,1998-03-16,1-URGENT,"Clerk#000000328",0,"ly among the accounts. slyly "
3000257,148376,O,330193.29,1996-04-04,2-HIGH,"Clerk#000000875",0,", bold accounts. carefully bold theodoli"
3000258,146728,F,128727.92,1992-09-26,3-MEDIUM,"Clerk#000000046",0," carefully final ideas. darin"
3000259,54917,F,41217.29,1993-09-16,3-MEDIUM,"Clerk#000000958",0,"ecial, final theodolites are unusual, express"
3000260,29495,F,71343.53,1994-12-31,5-LOW,"Clerk#000000924",0,"s cajole slyly. doggedly ironic pint"
3000261,108329,F,221074.04,1994-09-17,2-HIGH,"Clerk#000000691",0,"pinto beans are slyly regular i"
3000262,126724,O,157173.15,1996-11-04,5-LOW,"Clerk#000000584",0,"riously final requests believe"
3000263,127222,F,220527.96,1993-03-19,5-LOW,"Clerk#000000453",0,"its are. carefully regular deposits boost"
3000288,97532,F,123352.39,1994-06-29,1-URGENT,"Clerk#000000196",0,"ial, final orbits nag c"
3000289,19798,O,108525.38,1995-09-27,3-MEDIUM,"Clerk#000000679",0,"beans. carefully even reques"
3000290,18611,F,179863.33,1994-02-08,1-URGENT,"Clerk#000000635",0," haggle furiously special pearls. furious theo"
3000291,35083,F,118735.34,1995-03-31,"4-NOT SPECIFIED","Clerk#000000487",0,"nal accounts cajole furiously ironic deposits. slyly regular t"
3000292,134816,O,114998.75,1997-05-13,1-URGENT,"Clerk#000000922",0,". slyly final asymptotes above the caref"
3000293,97345,O,158910.54,1996-11-02,1-URGENT,"Clerk#000000563",0,"packages affix quickly despite the slyly express requests. careful"
3000294,20840,O,218593.40,1997-10-24,2-HIGH,"Clerk#000000335",0,"g to the regular requests. enticingly exp"
3000295,169,O,203842.12,1995-08-22,"4-NOT SPECIFIED","Clerk#000000425",0,"onic requests! slyly regular accounts wake "
3000320,121366,O,105402.93,1996-12-08,"4-NOT SPECIFIED","Clerk#000000994",0,"requests unwind blithely against the sometimes fin"
3000321,95207,F,113964.71,1992-09-09,1-URGENT,"Clerk#000000462",0,"r deposits are carefully before the iron"
3000322,77284,F,297882.34,1992-12-25,2-HIGH,"Clerk#000000064",0,"ironic excuses detect. pinto b"
3000323,60511,F,220018.67,1994-03-27,1-URGENT,"Clerk#000000020",0,"carefully even deposits haggle carefully ir"
3000324,145336,F,211646.24,1993-03-31,3-MEDIUM,"Clerk#000000354",0,"the regular, regular pinto beans. daring packages"
3000325,59032,O,273053.05,1997-12-27,"4-NOT SPECIFIED","Clerk#000000820",0,"y final dependencies outside the furiously final requests"
3000326,41866,F,135067.62,1993-09-01,1-URGENT,"Clerk#000000717",0,"ages. furiously final foxes according to the daring pinto beans wake never"
3000327,134278,O,33994.30,1997-03-22,1-URGENT,"Clerk#000000824",0,"ies sleep despite the permanent, ironic foxes. regular instructions snooze "
3000352,55928,F,173274.71,1992-10-05,"4-NOT SPECIFIED","Clerk#000000629",0,"unts. pending packages haggle blithely even deposit"
3000353,75319,F,191711.04,1993-11-12,3-MEDIUM,"Clerk#000000589",0,"s? pending, unusual packages cajole silently after the special dependen"
3000354,23900,O,148048.45,1996-08-08,5-LOW,"Clerk#000000711",0,"y unusual deposits wake slyly. unusual excuses sle"
3000355,127138,F,169455.02,1994-04-23,1-URGENT,"Clerk#000000175",0,"atelets about the even inst"
3000356,27802,F,166514.72,1994-08-09,1-URGENT,"Clerk#000000119",0,"thely special deposits. slyly even packages sleep. slyly even platelet"
3000357,17800,F,183302.63,1993-01-19,2-HIGH,"Clerk#000000879",0,"quests sleep blithely bold, "
3000358,44107,O,95991.02,1998-03-20,5-LOW,"Clerk#000000959",0," platelets. final, bold packages"
3000359,141742,O,66669.83,1997-11-28,3-MEDIUM,"Clerk#000000571",0," beans. slyly final dolphins detect busily. fu"
3000384,96541,F,81462.06,1994-05-06,2-HIGH,"Clerk#000000465",0," about the final requests! special, special"
3000385,6484,O,241310.98,1998-05-18,5-LOW,"Clerk#000000352",0,"e even accounts. bold, pending instructions after the bold"
3000386,67507,O,92319.20,1997-10-04,3-MEDIUM,"Clerk#000000598",0,"s. unusual, special deposits alongside of the blithely ironic "
3000387,132388,F,192985.43,1994-07-09,3-MEDIUM,"Clerk#000000108",0,"ly among the regular in"
3000388,93740,O,237473.68,1997-09-09,3-MEDIUM,"Clerk#000000473",0,"ronically against the quickly ironic sentiments. slyly fin"
3000389,25927,O,10206.48,1995-06-14,2-HIGH,"Clerk#000000895",0,"nal instructions. hockey players nag "
3000390,146521,O,98121.54,1995-06-09,1-URGENT,"Clerk#000000073",0,"he ironic deposits. blithely even "
3000391,14602,O,59711.36,1998-05-29,2-HIGH,"Clerk#000000872",0," ironic deposits cajole blithely furiously"
3000416,6269,F,53277.42,1992-10-04,5-LOW,"Clerk#000000411",0,"egular packages are quickly express deposits. closely regular foxe"
3000417,60637,O,138237.49,1998-04-20,5-LOW,"Clerk#000000149",0,"ests haggle. ironic excuses affix slyly against the furiously speci"
3000418,19499,F,35572.33,1994-03-29,"4-NOT SPECIFIED","Clerk#000000073",0,"stealthy theodolites use quickly sl"
3000419,118228,O,214868.34,1995-07-27,2-HIGH,"Clerk#000000037",0,"carefully pending instructions haggle c"
3000420,125749,F,203821.54,1994-07-04,1-URGENT,"Clerk#000000966",0,"eposits. quickly express instructions haggle about the express platele"
3000421,98167,F,76226.50,1994-02-12,3-MEDIUM,"Clerk#000000289",0,"y among the accounts. furious"
3000422,21241,O,222157.30,1996-04-15,5-LOW,"Clerk#000000422",0,"usly. carefully pending foxes are carefully. pinto beans a"
3000423,117988,F,59082.63,1994-01-20,"4-NOT SPECIFIED","Clerk#000000562",0,"d frets haggle. ironic"
3000448,2584,F,56472.52,1993-04-06,5-LOW,"Clerk#000000536",0,"ully final accounts run always through the express asym"
3000449,62750,O,25387.47,1997-06-18,3-MEDIUM,"Clerk#000000658",0,"ully carefully regular pint"
3000450,128572,O,55221.42,1996-11-27,3-MEDIUM,"Clerk#000000365",0,"lyly even foxes. blithely bold dependencies affix accounts. accounts"
3000451,148114,O,76867.66,1995-12-24,5-LOW,"Clerk#000000655",0,"above the regular forges. ideas around the even, pending gifts wake bli"
3000452,95635,O,141993.77,1997-03-04,5-LOW,"Clerk#000000966",0,"s. pending ideas use carefully among the ironic deposits. express, regula"
3000453,84673,F,106812.18,1992-10-25,1-URGENT,"Clerk#000000466",0,"ake express requests. stealthily express requests wake alongsi"
3000454,23644,O,115892.92,1996-03-08,5-LOW,"Clerk#000000775",0,"luffily express requests according to the even theodol"
3000455,9304,O,137006.99,1997-12-24,2-HIGH,"Clerk#000000300",0," packages according to the quickly busy ideas boost carefu"
3000480,46009,O,368379.12,1996-04-30,"4-NOT SPECIFIED","Clerk#000000348",0,"e carefully against the carefully special "
3000481,18047,O,61339.09,1997-05-29,3-MEDIUM,"Clerk#000000556",0,"cording to the even asympt"
3000482,2779,F,152805.30,1993-02-19,3-MEDIUM,"Clerk#000000969",0," furiously regular asymptotes along the fluffily ironic "
3000483,48730,O,10167.20,1996-02-25,2-HIGH,"Clerk#000000494",0,"e special, regular requests. waters sleep deposits. iro"
3000484,140878,O,60198.08,1995-05-28,1-URGENT,"Clerk#000000881",0,"dependencies boost even, quiet ideas. carefu"
3000485,136471,F,92375.41,1993-01-31,5-LOW,"Clerk#000000800",0,"inal theodolites after the regular deposits nag blithely re"
3000486,12958,O,234600.01,1996-09-07,2-HIGH,"Clerk#000000004",0,"ts. closely dogged ideas across the express pinto beans ar"
3000487,113611,F,154377.40,1992-11-02,2-HIGH,"Clerk#000000234",0," boost slyly above the "
3000512,88564,O,230191.56,1998-01-03,"4-NOT SPECIFIED","Clerk#000000931",0," furiously pending platelets use carefully "
3000513,14219,O,257483.46,1995-11-25,5-LOW,"Clerk#000000785",0," final accounts wake quickly. blithely even reque"
3000514,19978,O,156335.29,1996-07-01,1-URGENT,"Clerk#000000840",0,"ully instead of the b"
3000515,40966,O,91257.97,1996-11-10,"4-NOT SPECIFIED","Clerk#000000201",0,"ve. carefully final pinto bea"
3000516,8803,O,148983.59,1996-01-30,"4-NOT SPECIFIED","Clerk#000000384",0,"n requests boost carefully across the quickly "
3000517,50161,O,60228.05,1996-11-15,1-URGENT,"Clerk#000000349",0,"mptotes across the r"
3000518,24826,F,289817.42,1994-05-29,2-HIGH,"Clerk#000000365",0,"ular deposits are above the"
3000519,88238,F,99213.85,1992-01-25,2-HIGH,"Clerk#000000304",0,"ar, regular theodolites wake slyly fu"
3000544,111013,F,165540.57,1994-03-17,5-LOW,"Clerk#000000024",0,"inal sauternes cajole c"
3000545,68374,F,98087.45,1994-08-10,2-HIGH,"Clerk#000000640",0,"y express packages. final foxes use blithely regular theodolites. "
3000546,138221,F,108443.54,1992-12-13,5-LOW,"Clerk#000000232",0,"s. blithely special packages haggle quickly at the slowly "
3000547,28175,F,259614.91,1994-12-21,"4-NOT SPECIFIED","Clerk#000000588",0,"s are blithely. slyly regular packages nag furiously. slyly even pa"
3000548,130825,O,25572.36,1998-03-06,2-HIGH,"Clerk#000000333",0,"haggle ironic, bold accounts. permanently spec"
3000549,55264,O,59628.35,1998-03-17,1-URGENT,"Clerk#000000694",0," regular attainments. pending requests should have to integrate."
3000550,143990,F,183415.90,1992-01-31,1-URGENT,"Clerk#000000594",0,"ly regular dolphins. blithely spe"
3000551,82270,F,37577.04,1994-12-21,1-URGENT,"Clerk#000000945",0,"mold furiously across the slyly final pinto beans. furiously regular pl"
3000576,176,F,128014.05,1994-02-15,"4-NOT SPECIFIED","Clerk#000000175",0,"ily. slyly even instructi"
3000577,100957,O,42413.89,1997-07-12,3-MEDIUM,"Clerk#000000870",0,"ial accounts boost quickly. r"
3000578,124210,O,83820.34,1998-02-08,1-URGENT,"Clerk#000000329",0,"ial, bold deposits about the packages cajole fl"
3000579,41330,F,135666.90,1994-09-04,5-LOW,"Clerk#000000386",0," requests. special pinto beans wake furiously after the regular"
3000580,131125,F,131549.24,1993-11-11,1-URGENT,"Clerk#000000001",0," wake slyly. blithely regular ideas sleep carefully. fl"
3000581,11807,F,113281.93,1992-03-20,5-LOW,"Clerk#000000459",0,"uriously regular pinto beans use slyly. close dolphins haggle furious"
3000582,129031,O,200699.32,1995-07-08,5-LOW,"Clerk#000000600",0,"efully bold theodolites. carefully f"
3000583,66031,F,297563.39,1993-12-08,2-HIGH,"Clerk#000000546",0," above the always even depos"
3000608,62033,F,178420.62,1994-08-22,1-URGENT,"Clerk#000000241",0,"oxes. furiously even "
3000609,81676,F,277796.04,1993-12-10,"4-NOT SPECIFIED","Clerk#000000247",0,"uests sleep always. even instructions sleep f"
3000610,57229,O,102511.36,1997-02-26,3-MEDIUM,"Clerk#000000468",0,"olites about the dogged deposits was ironi"
3000611,28000,O,11047.46,1996-06-04,3-MEDIUM,"Clerk#000000630",0,"s use blithely ideas. f"
3000612,27310,F,15768.00,1994-12-07,5-LOW,"Clerk#000000917",0,"dependencies cajole bold pinto bea"
3000613,118196,P,117526.76,1995-05-28,3-MEDIUM,"Clerk#000000634",0,"nal accounts. furiously special accounts use again"
3000614,69721,O,75776.24,1998-05-28,"4-NOT SPECIFIED","Clerk#000000296",0,"ns detect slyly among the requests. fur"
3000615,122552,O,158630.62,1997-04-02,3-MEDIUM,"Clerk#000000286",0,"c instructions are pa"
3000640,73483,O,231913.88,1997-12-07,3-MEDIUM,"Clerk#000000099",0,"otornis use slyly slyly blithe sheaves. furiousl"
3000641,72272,F,111994.00,1992-09-11,"4-NOT SPECIFIED","Clerk#000000677",0,"fluffily pending deposits about the regular, ironic platelets thrash"
3000642,124591,O,176176.77,1998-05-24,5-LOW,"Clerk#000000021",0,"he slyly ironic requests"
3000643,140536,F,253258.22,1992-03-17,3-MEDIUM,"Clerk#000000899",0,"deas. even accounts slee"
3000644,69526,F,190741.27,1994-12-03,"4-NOT SPECIFIED","Clerk#000000580",0,"counts shall have to cajole. reg"
3000645,10003,O,237774.83,1997-12-08,5-LOW,"Clerk#000000575",0," packages. unusual pinto beans about the packages haggle fluffily ca"
3000646,95854,F,11718.27,1993-08-31,2-HIGH,"Clerk#000000620",0,"s throughout the regularly ironic accounts kindle fluffily across the re"
3000647,139568,O,46450.86,1998-05-18,"4-NOT SPECIFIED","Clerk#000000835",0,"inst the pending requests. sp"
3000672,18169,F,179581.76,1992-07-24,5-LOW,"Clerk#000000986",0,"p slyly final gifts. fur"
3000673,106876,O,182977.69,1996-10-26,5-LOW,"Clerk#000000422",0,"uests. ironic, final accounts use regular ideas. blithely bold requests are"
3000674,2722,O,89206.28,1998-07-20,5-LOW,"Clerk#000000102",0,"tions. silently regular "
3000675,142555,F,232615.30,1992-04-27,2-HIGH,"Clerk#000000955",0," sleep quickly. furiously bold packages along the final, final "
3000676,89188,O,289951.56,1995-05-30,"4-NOT SPECIFIED","Clerk#000000235",0,"ts. ironic braids use fu"
3000677,26299,O,145238.35,1995-11-05,2-HIGH,"Clerk#000000458",0,"deposits above the regula"
3000678,102268,O,363868.68,1996-05-13,"4-NOT SPECIFIED","Clerk#000000194",0,"ickly ironic ideas after the bold, unusual request"
3000679,95615,F,117659.14,1993-03-24,"4-NOT SPECIFIED","Clerk#000000893",0,"ly about the slyly final platelets. final instructions "
3000704,45568,O,136411.78,1996-07-26,3-MEDIUM,"Clerk#000000801",0," unusual excuses ought to nag. quiet, fin"
3000705,101743,O,127495.69,1997-07-16,2-HIGH,"Clerk#000000775",0,"nto beans. special reques"
3000706,139661,F,117510.12,1994-11-09,1-URGENT,"Clerk#000000790",0,"ar dependencies hang blithely. ironic, expr"
3000707,69634,F,189379.87,1994-10-01,"4-NOT SPECIFIED","Clerk#000000509",0,"ys cajole furiously unusual rea"
3000708,16078,F,277994.22,1993-06-26,5-LOW,"Clerk#000000155",0,"tect carefully at the carefully final accounts. even deposi"
3000709,51571,F,58479.30,1994-04-27,"4-NOT SPECIFIED","Clerk#000000779",0,"eodolites. sentiments sleep even, regular deposits. slyly un"
3000710,30781,O,305609.92,1996-05-09,5-LOW,"Clerk#000000096",0,"ntegrate quickly idly ironic instructions. theodolites solve quickly ironic"
3000711,118880,F,98205.73,1994-09-08,3-MEDIUM,"Clerk#000000554",0,"ages. furiously special exc"
3000736,10081,F,286426.32,1994-04-24,2-HIGH,"Clerk#000000490",0,"ely ironic requests haggle instead of the quickly regular requests. reque"
3000737,65285,F,49889.37,1993-04-09,3-MEDIUM,"Clerk#000000444",0,"nally even deposits above the furiously final pl"
3000738,132196,F,142111.50,1994-06-26,"4-NOT SPECIFIED","Clerk#000000624",0,"the even deposits nod carefully against the doggedly thin asympto"
3000739,8227,O,13234.08,1996-07-28,"4-NOT SPECIFIED","Clerk#000000260",0,"s use finally above the furiously ironic foxes. slyly quiet accounts acro"
3000740,115316,F,215044.02,1994-07-10,5-LOW,"Clerk#000000955",0,"r instructions cajole quietly up the furiously regular ac"
3000741,115744,O,136049.46,1997-05-07,2-HIGH,"Clerk#000000105",0,"ironic packages. theodolites sleep requests. quickly ironic instructions"
3000742,83858,O,224889.97,1995-07-25,5-LOW,"Clerk#000000201",0,"equests wake about the final, regular deposits. ironic sentiments pla"
3000743,146947,O,233798.03,1996-08-26,5-LOW,"Clerk#000000060",0,"ld deposits against the ironic deposit"
3000768,121187,O,68179.36,1998-07-01,2-HIGH,"Clerk#000000935",0,"beans are. final instructions cajole bold"
3000769,74734,F,207084.71,1992-07-31,1-URGENT,"Clerk#000000819",0,"ost quickly against the final, silent accounts-- blithely ironic ideas haggle"
3000770,101557,O,94196.13,1998-07-03,2-HIGH,"Clerk#000000306",0,"slyly final foxes cajole fluffily fur"
3000771,143809,F,307601.21,1992-07-03,3-MEDIUM,"Clerk#000000244",0,"slyly pending theodolites hagg"
3000772,19078,P,310543.48,1995-04-06,5-LOW,"Clerk#000000147",0,"ess accounts above the slyly final foxes sleep furiously acros"
3000773,75431,O,89298.20,1996-10-27,2-HIGH,"Clerk#000000813",0,"g accounts eat blithely carefully express deposits. carefully regular packa"
3000774,112603,F,208241.60,1993-11-04,3-MEDIUM,"Clerk#000000696",0,"efully even ideas. quickly close requests cajole slyly. platelets use qu"
3000775,106207,O,114493.94,1996-11-02,5-LOW,"Clerk#000000965",0,"he furiously fluffy requests. carefully final courts poac"
3000800,147764,O,233012.19,1998-02-24,2-HIGH,"Clerk#000000292",0,"even theodolites cajole quickly against the final, fi"
3000801,63143,O,180345.50,1995-10-04,2-HIGH,"Clerk#000000579",0,"he carefully special ideas are aga"
3000802,140698,F,3746.74,1993-06-25,5-LOW,"Clerk#000000838",0,"gifts. bold theodolites nag slyly across the furiously final platelets. "
3000803,87811,F,357644.33,1993-07-01,1-URGENT,"Clerk#000000613",0," bold excuses boost furiously regular fox"
3000804,114424,O,76067.90,1997-09-19,1-URGENT,"Clerk#000000778",0,"s sleep quickly according to the unusual acco"
3000805,107659,P,65719.31,1995-04-22,5-LOW,"Clerk#000000124",0,"ully across the ironic, unusual packa"
3000806,96259,O,66684.21,1998-03-30,2-HIGH,"Clerk#000000813",0,"s. regular, pending packages haggle alongside of the slyly ironic account"
3000807,59582,O,18970.17,1998-04-01,3-MEDIUM,"Clerk#000000724",0,"y final, express deposits. final foxes nag blithely around the fu"
3000832,143516,O,29675.53,1998-03-12,2-HIGH,"Clerk#000000837",0,"en, even instructions. final requests cajole; sly"
3000833,67595,O,284867.22,1997-02-22,2-HIGH,"Clerk#000000781",0,"press ideas. unusual deposits acr"
3000834,115702,O,354425.83,1996-05-27,"4-NOT SPECIFIED","Clerk#000000631",0,"ronic deposits sleep. quickly furious ideas above the ironic pinto "
3000835,148190,F,38798.17,1992-09-01,"4-NOT SPECIFIED","Clerk#000000104",0,"ing ideas detect carefully above the fluf"
3000836,14750,F,140565.35,1992-04-02,2-HIGH,"Clerk#000000304",0," even requests. furiously ironic deposits after the quickly final "
3000837,101129,O,115037.15,1996-07-11,3-MEDIUM,"Clerk#000000365",0,"he busy decoys. blithely unusual pinto beans engage. excuses sleep"
3000838,13744,O,178463.92,1998-03-17,1-URGENT,"Clerk#000000041",0,"pinto beans. final dolphins across the fluffily ironic asymptotes sle"
3000839,137248,O,202689.97,1997-06-15,5-LOW,"Clerk#000000146",0,"the slyly special theodolit"
3000864,18547,O,255109.96,1996-03-30,5-LOW,"Clerk#000000968",0," sleep carefully. blithely even packages sleep slyly among the carefully re"
3000865,137899,F,190987.82,1994-01-28,2-HIGH,"Clerk#000000641",0,"ronic epitaphs. carefully f"
3000866,3643,F,135045.61,1994-07-26,"4-NOT SPECIFIED","Clerk#000000224",0,"nal requests doze against the carefully bold requests-- carefully "
3000867,20524,O,216103.53,1997-05-01,"4-NOT SPECIFIED","Clerk#000000058",0,"ons alongside of the unusual accounts cajole according to the slyly unusua"
3000868,64858,F,53232.79,1992-08-22,2-HIGH,"Clerk#000000841",0,"e deposits. quickly regular"
3000869,11581,F,246304.50,1994-08-09,1-URGENT,"Clerk#000000379",0,"nts affix regular theo"
3000870,68816,O,122133.86,1997-12-04,1-URGENT,"Clerk#000000329",0,"ress deposits will use"
3000871,75176,O,141364.57,1996-08-08,5-LOW,"Clerk#000000624",0,"quests cajole carefully express asymptotes. bold excuses cajole quickly. furio"
3000896,23479,F,183097.44,1994-02-19,5-LOW,"Clerk#000000609",0,"ias wake furiously pending pinto beans. blithely pending deposits cajole quick"
3000897,87904,O,88576.14,1996-11-13,5-LOW,"Clerk#000000501",0,"the pending, ironic instructions boost abo"
3000898,47236,F,14017.01,1993-09-10,5-LOW,"Clerk#000000849",0,"le carefully carefully even notorn"
3000899,65162,F,165754.95,1993-08-05,1-URGENT,"Clerk#000000778",0,"deas are final packages. ironic, iro"
3000900,21104,O,167537.51,1997-08-07,2-HIGH,"Clerk#000000395",0,"dazzle furiously acc"
3000901,79183,F,209162.86,1992-05-11,2-HIGH,"Clerk#000000115",0,"xpress requests do breach ir"
